cluster_id,center_long,center_lat
0,-73.96058122840942,40.7801943108015
1,-73.79052342876115,40.65193879468559
2,-73.99537685875654,40.724150615245996
3,-73.87179287324211,40.77593522393865
4,-73.98307707490692,40.75690408152742
