long,lat,cluster_id
-73.97044261148469,40.74991400028384,4
-73.96563472764679,40.76861505664575,0
-73.96563472764679,40.76861505664575,0
-73.83092432071815,40.6945423878432,1
-73.95701192571859,40.78043629001211,0
-74.00287502314927,40.73457589628757,2
-74.0078796687525,40.71777262479923,2
-73.9943047162786,40.732579026253674,2
-73.873628438902,40.77437581673264,3
-73.99243754419264,40.74849716576957,4
-73.78652986349012,40.64698510024821,1
-73.99243754419264,40.74849716576957,4
-73.95963501136171,40.76694805479654,0
-73.99243754419264,40.74849716576957,4
-74.00153759512791,40.7238880720604,2
-73.98515644835915,40.74857453693654,4
-74.00153759512791,40.7238880720604,2
-73.97849158432054,40.74774573203895,4
-73.96555540550199,40.78247701262984,0
-73.97756856896713,40.7644214387746,4
-73.99525009947318,40.6957980847225,2
-73.96555540550199,40.78247701262984,0
-73.97756856896713,40.7644214387746,4
-73.95963501136171,40.76694805479654,0
-73.99991779023728,40.7484273300986,4
-73.97235615813489,40.75668753761735,4
-73.77610108565929,40.72065547306544,1
-73.91682152685682,40.80734711638028,0
-73.94651047848446,40.77593230221761,0
-73.873628438902,40.77437581673264,3
-73.98405214924436,40.73682398302768,2
-73.96176369363279,40.80945681703888,0
-73.9904579133977,40.74033737258096,2
-73.98593745737395,40.727620122038296,2
-74.01607927269924,40.712037924667264,2
-73.96514581878095,40.75672890813223,4
-73.98153235360773,40.773633196128905,4
-73.98878660966813,40.75351274051303,4
-73.95701192571859,40.78043629001211,0
-73.99991779023728,40.7484273300986,4
-73.99089636602756,40.718938301131104,2
-73.99991779023728,40.7484273300986,4
-74.01302283778836,40.709138876288186,2
-73.96514581878095,40.75672890813223,4
-73.94889156149159,40.74537934472369,4
-73.97769803041939,40.758027981780664,4
-73.94651047848446,40.77593230221761,0
-74.00287502314927,40.73457589628757,2
-74.00401551098165,40.75330875946255,4
-74.0078796687525,40.71777262479923,2
-73.96176369363279,40.80945681703888,0
-74.00401551098165,40.75330875946255,4
-74.00401551098165,40.75330875946255,4
